,0,1,2
261,-3.02,-4.048,3.956
262,-4.172,-3.512,4.003
263,-3.101,-4.119,3.626
264,-4.659,-3.937,4.014
265,-3.146,-4.146,3.276
266,-5.063,-4.295,3.902
267,-3.218,-4.212,2.972
268,-5.072,-4.318,3.475
269,-3.758,-4.893,3.06
270,-5.091,-4.344,3.074
271,-4.631,-6.002,3.295
272,-5.739,-4.909,3.022
273,-4.728,-6.103,2.903
274,-6.109,-5.239,2.766
275,-6.125,-7.88,3.195
276,-7.698,-6.61,2.934
277,-0.0,-0.0,0.0
278,-7.728,-6.651,2.414
279,-6.812,-8.723,2.367
280,-7.71,-6.642,1.888
281,-6.851,-8.761,1.811
282,-13.069,-11.27,2.336
283,-6.856,-8.76,1.252
284,-4.899,-4.229,0.557
285,-4.735,-6.049,0.485
286,-4.924,-4.256,0.241
287,-3.508,-4.482,0.078
288,-4.912,-4.248,-0.076
289,-2.831,-3.62,-0.163
290,-2.933,-2.537,-0.235
291,-2.834,-3.628,-0.39
292,-2.942,-2.545,-0.427
293,-2.842,-3.644,-0.622
294,-2.946,-2.549,-0.622
295,-2.871,-3.69,-0.867
296,-3.085,-2.669,-0.858
297,-2.289,-2.952,-0.886
298,-0.41,-0.354,-0.142
299,-1.887,-2.442,-0.897
300,-0.385,-0.333,-0.161
301,-0.3,-0.389,-0.17
302,-0.339,-0.293,-0.166
303,-0.271,-0.353,-0.179
304,-0.0,-0.0,-0.0
305,-0.239,-0.313,-0.182
306,-0.0,-0.0,-0.0
307,-0.0,-0.0,-0.0
308,-0.0,-0.0,-0.0
309,-0.0,-0.0,-0.0
310,-0.0,-0.0,-0.0
311,-0.0,-0.0,-0.0
312,-0.0,-0.0,-0.0
313,-0.0,-0.0,-0.0
314,-0.0,-0.0,-0.0
315,-0.0,-0.0,-0.0
316,-0.0,-0.0,-0.0
317,-0.0,-0.0,-0.0
318,-0.0,-0.0,-0.0
319,-0.0,-0.0,-0.0
320,-2.928,-2.392,3.805
321,-1.793,-2.427,2.917
322,-2.948,-2.424,3.461
323,-2.739,-3.663,3.982
324,-2.954,-2.444,3.131
325,-3.049,-4.034,3.961
326,-3.077,-2.558,2.937
327,-3.133,-4.109,3.634
328,-4.684,-3.91,4.015
329,-3.174,-4.131,3.279
330,-5.122,-4.291,3.926
331,-3.246,-4.196,2.975
332,-5.141,-4.322,3.504
333,-3.801,-4.887,3.071
334,-5.14,-4.332,3.087
335,-4.688,-5.999,3.309
336,-5.77,-4.875,3.023
337,-4.755,-6.06,2.897
338,-6.138,-5.199,2.765
339,-6.206,-7.885,3.212
340,-7.713,-6.542,2.925
341,-0.0,-0.0,0.0
342,-7.734,-6.573,2.403
343,-6.828,-8.634,2.354
344,-7.727,-6.575,1.882
345,-6.852,-8.652,1.797
346,-13.235,-11.273,2.354
347,-6.862,-8.659,1.243
348,-4.905,-4.182,0.555
349,-4.754,-5.996,0.483
350,-4.93,-4.208,0.24
351,-3.52,-4.441,0.078
352,-4.933,-4.214,-0.076
353,-2.828,-3.571,-0.161
354,-2.847,-2.432,-0.227
355,-2.842,-3.592,-0.388
356,-2.852,-2.437,-0.412
357,-2.845,-3.603,-0.618
358,-2.864,-2.448,-0.602
359,-2.891,-3.669,-0.866
360,-2.838,-2.425,-0.785
361,-2.295,-2.922,-0.881
362,-0.397,-0.339,-0.137
363,-1.899,-2.427,-0.895
364,-0.384,-0.328,-0.16
365,-0.306,-0.393,-0.172
366,-0.341,-0.291,-0.166
367,-0.277,-0.357,-0.182
368,-0.0,-0.0,-0.0
369,-0.241,-0.312,-0.182
370,-0.0,-0.0,-0.0
371,-0.213,-0.278,-0.184
372,-0.0,-0.0,-0.0
373,-0.0,-0.0,-0.0
374,-0.0,-0.0,-0.0
375,-0.0,-0.0,-0.0
376,-0.0,-0.0,-0.0
377,-0.0,-0.0,-0.0
378,-0.0,-0.0,-0.0
379,-0.0,-0.0,-0.0
380,-0.0,-0.0,-0.0
381,-0.0,-0.0,-0.0
382,-0.0,-0.0,-0.0
383,-0.0,-0.0,-0.0
384,-2.98,-2.404,3.853
385,-1.807,-2.415,2.916
386,-2.986,-2.425,3.488
387,-2.771,-3.658,3.995
388,-3.002,-2.453,3.165
389,-3.081,-4.026,3.971
390,-3.093,-2.539,2.937
391,-3.177,-4.113,3.655
392,-4.721,-3.892,4.027
393,-3.229,-4.149,3.309
394,-5.178,-4.284,3.949
395,-3.278,-4.183,2.98
396,-5.216,-4.331,3.537
397,-3.852,-4.89,3.088
398,-5.2,-4.328,3.107
399,-4.765,-6.021,3.337
400,-5.799,-4.839,3.022
401,-0.0,-0.0,0.0
402,-6.193,-5.18,2.775
403,-6.296,-7.898,3.233
404,-7.717,-6.464,2.911
405,-0.0,-0.0,0.0
406,-7.735,-6.493,2.391
407,-6.837,-8.537,2.339
408,-7.746,-6.509,1.877
409,-6.876,-8.574,1.79
410,-13.402,-11.274,2.371
411,-6.891,-8.586,1.239
412,-4.92,-4.143,0.554
413,-4.765,-5.936,0.48
414,-4.926,-4.152,0.238
415,-3.534,-4.404,0.078
416,-4.93,-4.159,-0.075
417,-2.829,-3.527,-0.16
418,-2.832,-2.39,-0.225
419,-2.845,-3.552,-0.385
420,-2.842,-2.398,-0.409
421,-2.853,-3.568,-0.615
422,-2.834,-2.393,-0.592
423,-2.928,-3.67,-0.87
424,-2.843,-2.4,-0.783
425,-2.311,-2.906,-0.88
426,-0.41,-0.345,-0.141
427,-1.916,-2.417,-0.896
428,-0.378,-0.318,-0.156
429,-0.308,-0.389,-0.171
430,-0.346,-0.291,-0.168
431,-0.277,-0.353,-0.181
432,-0.0,-0.0,-0.0
433,-0.239,-0.305,-0.179
434,-0.0,-0.0,-0.0
435,-0.0,-0.0,-0.0
436,-0.0,-0.0,-0.0
437,-0.0,-0.0,-0.0
438,-0.0,-0.0,-0.0
439,-0.0,-0.0,-0.0
440,-0.0,-0.0,-0.0
441,-0.0,-0.0,-0.0
442,-0.0,-0.0,-0.0
443,-0.0,-0.0,-0.0
444,-0.0,-0.0,-0.0
445,-0.0,-0.0,-0.0
446,-0.0,-0.0,-0.0
447,-0.0,-0.0,-0.0
448,-3.021,-2.407,3.887
449,-1.824,-2.407,2.919
450,-3.02,-2.422,3.51
451,-2.799,-3.649,4.003
452,-3.037,-2.451,3.186
453,-3.118,-4.023,3.986
454,-3.109,-2.52,2.937
455,-3.23,-4.129,3.687
456,-4.754,-3.87,4.034
457,-3.283,-4.166,3.339
458,-5.234,-4.277,3.972
459,-3.321,-4.185,2.996
460,-5.293,-4.34,3.571
461,-3.898,-4.887,3.1
462,-5.276,-4.336,3.137
463,-4.848,-6.049,3.369
464,-5.894,-4.857,3.056
465,-0.0,-0.0,0.0
466,-6.208,-5.128,2.768
467,-6.372,-7.894,3.247
468,-7.735,-6.399,2.903
469,-0.0,-0.0,0.0
470,-7.736,-6.414,2.379
471,-6.882,-8.486,2.336
472,-7.758,-6.439,1.87
473,-6.926,-8.528,1.789
474,-13.585,-11.286,2.391
475,-6.939,-8.538,1.238
476,-4.927,-4.098,0.552
477,-4.768,-5.865,0.477
478,-4.931,-4.105,0.237
479,-3.538,-4.354,0.077
480,-4.934,-4.111,-0.075
481,-2.835,-3.491,-0.159
482,-2.854,-2.379,-0.225
483,-2.846,-3.508,-0.383
484,-2.859,-2.383,-0.409
